address,lat,lon
"nan, nan, nan, Омская область, другое, Омская область, Россия",,
"nan, nan, nan, Омск г.о., Омская область, Россия",,
"nan, nan, Омск, Омск г.о., Омская область, Россия",,
"13, Комсомольский проспект, Омск, Омск г.о., Омская область, Россия",,
"nan, 3-я улица Челюскинцев, Омск, Омск г.о., Омская область, Россия",,
"14к1, улица Малиновского, Омск, Омск г.о., Омская область, Россия",,
"28А, проспект Мира, Омск, Омск г.о., Омская область, Россия",,
"55, Молодогвардейская улица, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Калачинский район, Омская область, Россия",,
"56, 4-я Транспортная улица, Омск, Омск г.о., Омская область, Россия",,
"49, улица Энтузиастов, Омск, Омск г.о., Омская область, Россия",,
"9, улица Бархатовой, Омск, Омск г.о., Омская область, Россия",,
"10к2, улица Кирова, Омск, Омск г.о., Омская область, Россия",,
"nan, nan, nan, Называевский район, Омская область, Россия",,
"nan, nan, nan, Любинский район, Омская область, Россия",,
"1, Привокзальная улица, разъезд Петрушенко, Омский район, Омская область, Россия",,
"nan, 5-я Кордная улица, Омск, Омск г.о., Омская область, Россия",,
"nan, Первомайская улица, рабочий посёлок Черлак, Черлакский район, Омская область, Россия",,
"113А, улица 50 лет Профсоюзов, Омск, Омск г.о., Омская область, Россия",,
"nan, проспект Менделеева, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Красных Зорь, Омск, Омск г.о., Омская область, Россия",,
"nan, улица Дианова, Омск, Омск г.о., Омская область, Россия",,
"13, 4-я Транспортная улица, Омск, Омск г.о., Омская область, Россия",,
"14/4, улица Лукашевича, Омск, Омск г.о., Омская область, Россия",,
"nan, Окружная дорога, Омск, Омск г.о., Омская область, Россия",,
"89А, проспект Карла Маркса, Омск, Омск г.о., Омская область, Россия",,
"nan, Пригородная улица, Омск, Омск г.о., Омская область, Россия",,
"27, Заозёрная улица, Омск, Омск г.о., Омская область, Россия",,
"12, улица Труда, Омск, Омск г.о., Омская область, Россия",,
